"sample_id","job_id"
"33767bf5765a","absolute_zero-full-persona-opening-r1"
"4d26bdf8a9c6","absolute_zero-no-persona-opening-r1"
"86d540213f94","absolute_zero-detailed-level-opening-r1"
"fb1b8c13a741","absolute_zero-no-interaction-opening-r1"
"e1e06a052a56","absolute_zero-examples-opening-r1"
"ed310d612fd2","absolute_zero-control-opening-r1"
"2f35c2e796cf","absolute_zero-full-persona-confusion-r1"
"b0946282b075","absolute_zero-no-persona-confusion-r1"
"915adaf99c98","absolute_zero-detailed-level-confusion-r1"
"a43f46cab706","absolute_zero-no-interaction-confusion-r1"
"cb22b6edada5","absolute_zero-examples-confusion-r1"
"0695ce9ab5db","absolute_zero-control-confusion-r1"
"66b44932c282","absolute_zero-full-persona-topic-switch-r1"
"0905930056c7","absolute_zero-no-persona-topic-switch-r1"
"89d8ec2457c2","absolute_zero-detailed-level-topic-switch-r1"
"2d3dd44b0ea7","absolute_zero-no-interaction-topic-switch-r1"
"602d7f3ab3fc","absolute_zero-examples-topic-switch-r1"
"db5d86098c74","absolute_zero-control-topic-switch-r1"
"70c9f7545f26","beginner-no-persona-opening-r1"
"761d7d6aae98","beginner-detailed-level-opening-r1"
"c21b92984a5c","beginner-no-interaction-opening-r1"
"9e474ef24a65","beginner-examples-opening-r1"
"2d738c2dc389","beginner-control-opening-r1"
"0a65210ea5c1","beginner-full-persona-opening-r1"
"476fbf3ad8db","beginner-no-persona-confusion-r1"
"142045669d91","beginner-detailed-level-confusion-r1"
"6a44e048a32f","beginner-no-interaction-confusion-r1"
"ab647519fb01","beginner-examples-confusion-r1"
"eae4f23f7d9f","beginner-control-confusion-r1"
"fa0a2bd62da7","beginner-full-persona-confusion-r1"
"74c67dafc77e","beginner-no-persona-topic-switch-r1"
"a43450fefd60","beginner-detailed-level-topic-switch-r1"
"f22beb7fa4bf","beginner-no-interaction-topic-switch-r1"
"8fc921785d5c","beginner-examples-topic-switch-r1"
"e33960102a00","beginner-control-topic-switch-r1"
"ca40ce9a9baf","beginner-full-persona-topic-switch-r1"
"60bd0ff32427","intermediate-detailed-level-opening-r1"
"7602b3190f13","intermediate-no-interaction-opening-r1"
"459c64d22c0d","intermediate-examples-opening-r1"
"bf2531a38b73","intermediate-control-opening-r1"
"376cc94322be","intermediate-full-persona-opening-r1"
"17c965bf5fe5","intermediate-no-persona-opening-r1"
"1aa9609c7a19","intermediate-detailed-level-confusion-r1"
"cdbe6d4cb4c5","intermediate-no-interaction-confusion-r1"
"949d2b8d35d5","intermediate-examples-confusion-r1"
"06f5653665d5","intermediate-control-confusion-r1"
"4207487caaa4","intermediate-full-persona-confusion-r1"
"c4e554b6a497","intermediate-no-persona-confusion-r1"
"057894e1be67","intermediate-detailed-level-topic-switch-r1"
"e469b2388429","intermediate-no-interaction-topic-switch-r1"
"9acde2c2cba1","intermediate-examples-topic-switch-r1"
"f836bedf2f4d","intermediate-control-topic-switch-r1"
"05fe9328d4db","intermediate-full-persona-topic-switch-r1"
"8acbbfa5f477","intermediate-no-persona-topic-switch-r1"
"dee3073dd4bf","absolute_zero-no-persona-opening-r2"
"08c94af55234","absolute_zero-detailed-level-opening-r2"
"5a7829840900","absolute_zero-no-interaction-opening-r2"
"a2b9788af354","absolute_zero-examples-opening-r2"
"fe4ce6b78d10","absolute_zero-control-opening-r2"
"68c37717d15b","absolute_zero-full-persona-opening-r2"
"274e7b13ae18","absolute_zero-no-persona-confusion-r2"
"292e2b1a447c","absolute_zero-detailed-level-confusion-r2"
"c6f8c7649fef","absolute_zero-no-interaction-confusion-r2"
"1a19d44f73f1","absolute_zero-examples-confusion-r2"
"dabbe9bb1799","absolute_zero-control-confusion-r2"
"9ef8cb171e06","absolute_zero-full-persona-confusion-r2"
"2e5510c5921a","absolute_zero-no-persona-topic-switch-r2"
"b1aa16576ff8","absolute_zero-detailed-level-topic-switch-r2"
"414c9702e093","absolute_zero-no-interaction-topic-switch-r2"
"9056d7b77bd5","absolute_zero-examples-topic-switch-r2"
"3a9062520dd7","absolute_zero-control-topic-switch-r2"
"2fa8113a72e2","absolute_zero-full-persona-topic-switch-r2"
"bbabf43b1761","beginner-detailed-level-opening-r2"
"e78f29b6eba4","beginner-no-interaction-opening-r2"
"7d1422460c9e","beginner-examples-opening-r2"
"510b6686a660","beginner-control-opening-r2"
"652e9cd16017","beginner-full-persona-opening-r2"
"6c72f1f4caea","beginner-no-persona-opening-r2"
"d7fdd45ff984","beginner-detailed-level-confusion-r2"
"1db839515648","beginner-no-interaction-confusion-r2"
"caf335dd3959","beginner-examples-confusion-r2"
"f269d3f22f4e","beginner-control-confusion-r2"
"2493433dc7c7","beginner-full-persona-confusion-r2"
"1bfefe58848d","beginner-no-persona-confusion-r2"
"8734bcc2a7bf","beginner-detailed-level-topic-switch-r2"
"adb295d9bb33","beginner-no-interaction-topic-switch-r2"
"108d111f0d9e","beginner-examples-topic-switch-r2"
"aaf08a5a0bae","beginner-control-topic-switch-r2"
"be8010f17121","beginner-full-persona-topic-switch-r2"
"88a63f7b3ee0","beginner-no-persona-topic-switch-r2"
"d70295611fef","intermediate-no-interaction-opening-r2"
"98b98cdb652c","intermediate-examples-opening-r2"
"b57a9a46b5b4","intermediate-control-opening-r2"
"7e8791f8b814","intermediate-full-persona-opening-r2"
"295800f60a6b","intermediate-no-persona-opening-r2"
"128835852774","intermediate-detailed-level-opening-r2"
"2ccf7123b5a0","intermediate-no-interaction-confusion-r2"
"1d345a2468ba","intermediate-examples-confusion-r2"
"d7343bd29be5","intermediate-control-confusion-r2"
"64c14cf882c0","intermediate-full-persona-confusion-r2"
"7f6efe05430f","intermediate-no-persona-confusion-r2"
"a616eee6ce91","intermediate-detailed-level-confusion-r2"
"1b12fb768c54","intermediate-no-interaction-topic-switch-r2"
"e42be3ec2c06","intermediate-examples-topic-switch-r2"
"ec99ca9be74d","intermediate-control-topic-switch-r2"
"3f9502b104cc","intermediate-full-persona-topic-switch-r2"
"27680c4d4ca6","intermediate-no-persona-topic-switch-r2"
"8547a357af2b","intermediate-detailed-level-topic-switch-r2"
