"sample_id","job_id"
"64d5b9664665","spanish-beginner-approved-23-t0"
"ac3667079ed2","spanish-beginner-approved-23-t1"
"27031fcbe332","spanish-beginner-approved-23-t2"
"360c9db2e4e2","spanish-beginner-approved-23-t3"
"c10d38e3396d","spanish-beginner-compact-examples-t0"
"e97834dac6db","spanish-beginner-compact-examples-t1"
"687428695b85","spanish-beginner-compact-examples-t2"
"7daefa59fe44","spanish-beginner-compact-examples-t3"
"7365c03691e7","spanish-intermediate-approved-23-t0"
"277ef92424ab","spanish-intermediate-approved-23-t1"
"f34c160a8808","spanish-intermediate-approved-23-t2"
"2bd7b370b7b6","spanish-intermediate-approved-23-t3"
"2b4c698422a6","spanish-intermediate-compact-examples-t0"
"f4ed047bdedd","spanish-intermediate-compact-examples-t1"
"d3e2093b7f54","spanish-intermediate-compact-examples-t2"
"ff4fddb6d409","spanish-intermediate-compact-examples-t3"
"b91d5109834d","arabic-beginner-approved-23-t0"
"5a6241042b69","arabic-beginner-approved-23-t1"
"7338ff856b24","arabic-beginner-approved-23-t2"
"24d1ef498679","arabic-beginner-approved-23-t3"
"09b123a1e3ba","arabic-beginner-compact-examples-t0"
"5293eca11fa9","arabic-beginner-compact-examples-t1"
"3a6b87f47ef0","arabic-beginner-compact-examples-t2"
"de0bceb3d706","arabic-beginner-compact-examples-t3"
"abd1a9978386","arabic-intermediate-approved-23-t0"
"1c4f909deb9c","arabic-intermediate-approved-23-t1"
"e1587422fdf8","arabic-intermediate-approved-23-t2"
"a301b7545db4","arabic-intermediate-approved-23-t3"
"622df0a85ccd","arabic-intermediate-compact-examples-t0"
"c6fa727e6161","arabic-intermediate-compact-examples-t1"
"e4b4020be3d6","arabic-intermediate-compact-examples-t2"
"5591a65791b8","arabic-intermediate-compact-examples-t3"
"fe837e1621f6","mandarin-beginner-approved-23-t0"
"babc3033d879","mandarin-beginner-approved-23-t1"
"011f62411ce6","mandarin-beginner-approved-23-t2"
"a90691dd1698","mandarin-beginner-approved-23-t3"
"7eda1ce5d828","mandarin-beginner-compact-examples-t0"
"9e2228a48dc4","mandarin-beginner-compact-examples-t1"
"0074cb40d1eb","mandarin-beginner-compact-examples-t2"
"2b7ab3a2b4b1","mandarin-beginner-compact-examples-t3"
"208fe1673119","mandarin-intermediate-approved-23-t0"
"bf40fa839d1f","mandarin-intermediate-approved-23-t1"
"b03f2d53dc85","mandarin-intermediate-approved-23-t2"
"216aebc07bf9","mandarin-intermediate-approved-23-t3"
"be22af04e342","mandarin-intermediate-compact-examples-t0"
"7adb50ef20e8","mandarin-intermediate-compact-examples-t1"
"d306f618653f","mandarin-intermediate-compact-examples-t2"
"2aa6eb328d6c","mandarin-intermediate-compact-examples-t3"
