"sample_id","language","level","scenario","history","response","sentence_count_heuristic","difficulty_fit_0_2","reply_opportunity_0_2","responsiveness_0_2","persona_consistency_0_2_or_na","notes"
"0a660382e4c3","mandarin","beginner","owned-confusion","[{""role"":""assistant"",""content"":""我喜欢喝茶。""},{""role"":""user"",""content"":""我不懂。""}]","你喜欢什么茶？","1","","","","",""
"1c30775fc82d","spanish","absolute_zero","opening","[]","Me gusta el café.","1","","","","",""
"211e988e3f38","mandarin","fluent","argument","[{""role"":""assistant"",""content"":""我喜欢听现场音乐。""},{""role"":""user"",""content"":""聊聊工作吧：如果支持缩短工作周只是因为能提高生产率，这不还是同一套逻辑吗？即使不多生产，自由时间难道就不值得拥有？""}]","我懂你的意思，如果只是为了生产力那确实没变。但我自己觉得，多出来的自由时间本身就很有价值，不一定非要和生产力挂钩。比如说，我可以有更多时间去城里转转，找那些不起眼的小店，通常好吃的都在那些地方。","3","","","","",""
"25da24810967","spanish","beginner","preference","[{""role"":""assistant"",""content"":""Me gusta escuchar música en directo.""},{""role"":""user"",""content"":""Prefiero escuchar música en casa.""}]","A mí me gusta la música en casa.","1","","","","",""
"2c00f884ac40","mandarin","beginner","owned-confusion","[{""role"":""assistant"",""content"":""我喜欢喝茶。""},{""role"":""user"",""content"":""我不懂。""}]","你喜欢喝什么茶？","1","","","","",""
"38a7c94c7382","arabic","absolute_zero","opening","[]","البيت كبير.","1","","","","",""
"395172c063aa","mandarin","absolute_zero","opening","[]","我喜欢面条。","1","","","","",""
"3f1aa9af71bc","arabic","beginner","preference","[{""role"":""assistant"",""content"":""بحب أسمع موسيقى بالحفلات.""},{""role"":""user"",""content"":""بفضّل أسمع موسيقى بالبيت.""}]","أنا بحب الموسيقى الهادية.","1","","","","",""
"4ba36468bd5f","spanish","beginner","preference","[{""role"":""assistant"",""content"":""Me gusta escuchar música en directo.""},{""role"":""user"",""content"":""Prefiero escuchar música en casa.""}]","A mí me gusta la música en directo.","1","","","","",""
"4c34c2de7a0f","mandarin","absolute_zero","opening","[]","我喜欢面。","1","","","","",""
