"sample_id","language","level","scenario","history","response","sentence_count_heuristic","difficulty_fit_0_2","reply_opportunity_0_2","responsiveness_0_2","persona_consistency_0_2_or_na","notes"
"02b3caa958d2","spanish","absolute_zero","opening","[]","¿Te gusta la música?","1","","","","",""
"094bfb2e38b8","spanish","beginner","confusion","[{""role"":""assistant"",""content"":""¿Te gusta la música?""},{""role"":""user"",""content"":""Sí.""},{""role"":""assistant"",""content"":""¿Qué música te gusta?""},{""role"":""user"",""content"":""No entiendo.""}]","¿Te gusta la música pop?","1","","","","",""
"1553cee417b1","mandarin","fluent","opening","[]","你最近有没有发现什么特别好吃的街边小吃？","1","","","","",""
"16e060a658f9","mandarin","advanced","opening","[]","你觉得在城市里骑车，是白天骑有意思，还是晚上骑有意思？","1","","","","",""
"1ae08105daa9","spanish","beginner","brief-answer","[{""role"":""assistant"",""content"":""¿Te gusta la música?""},{""role"":""user"",""content"":""Sí.""}]","¿Qué música te gusta?","1","","","","",""
"1b1c2d960bc5","arabic","advanced","opening","[]","شو رأيك بالمباني الجديدة اللي عم نشوفها بعمان، خصوصاً لما تكون كتير عالية؟","1","","","","",""
"27e81a97cac7","mandarin","beginner","opening","[]","你喜欢吃辣的食物吗？","1","","","","",""
"3712315e529a","spanish","absolute_zero","confusion","[{""role"":""assistant"",""content"":""¿Te gusta la música?""},{""role"":""user"",""content"":""Sí.""},{""role"":""assistant"",""content"":""¿Te gusta bailar?""},{""role"":""user"",""content"":""No entiendo.""}]","¿Te gusta la música?","1","","","","",""
"408621b0c7c7","spanish","fluent","opening","[]","¿Qué tipo de planes sueles hacer para aprovechar el fin de semana?","1","","","","",""
"4ad37397f3c7","arabic","intermediate","opening","[]","شو أكتر شي بتحبه بمدينتك؟","1","","","","",""
"54d181251c7e","arabic","beginner","opening","[]","بتحب القهوة؟","1","","","","",""
"557f4626f0f0","spanish","absolute_zero","opening","[]","¿Te gusta la música?","1","","","","",""
"584020e79eed","arabic","beginner","brief-answer","[{""role"":""assistant"",""content"":""بتحب القهوة؟""},{""role"":""user"",""content"":""آه.""}]","بتحب القهوة مع حليب؟","1","","","","",""
"59da5b9955e9","arabic","advanced","opening","[]","شو أكتر شي بتحبه بمدينتك؟","1","","","","",""
"5bbb0c460438","arabic","intermediate","opening","[]","شو أكتر شي بتحبه بمدينتك؟","1","","","","",""
"5d1aa2834ed7","mandarin","advanced","opening","[]","你觉得一个城市的夜生活，最吸引人的地方是什么？","1","","","","",""
"60050ff9bb32","mandarin","beginner","opening","[]","你喜欢吃面条吗？","1","","","","",""
"61bf9c3fe6ed","spanish","beginner","opening","[]","¿Te gusta la música?","1","","","","",""
"626bf7899b49","spanish","beginner","opening","[]","¿Te gusta cocinar?","1","","","","",""
"6addbf417c5c","arabic","absolute_zero","opening","[]","بتحب القهوة؟","1","","","","",""
"7c178a9c42d4","spanish","intermediate","opening","[]","¿Qué tipo de libros te gusta leer en tu tiempo libre?","1","","","","",""
"7c7f70b39854","spanish","beginner","opening","[]","¿Te gusta la jardinería?","1","","","","",""
"806417844783","mandarin","intermediate","opening","[]","你喜欢晚上出门还是白天出门？","1","","","","",""
"854c5d3efb58","mandarin","absolute_zero","opening","[]","你喜欢咖啡吗？","1","","","","",""
"8ebcef0e17bb","arabic","fluent","opening","[]","إيش أكتر شي بتحبه بمدينتك؟","1","","","","",""
"91d4902bafb9","mandarin","absolute_zero","brief-answer","[{""role"":""assistant"",""content"":""你喜欢吃面条吗？""},{""role"":""user"",""content"":""喜欢。""}]","你喜欢吃米饭吗？","1","","","","",""
"9b2f4c052137","mandarin","intermediate","opening","[]","你喜欢晚上出去玩，还是更喜欢白天出去玩？","1","","","","",""
"a1385aa96c90","arabic","absolute_zero","opening","[]","بتحب الشاي؟","1","","","","",""
"a688548bebac","spanish","advanced","opening","[]","¿Qué tipo de comida te parece más interesante para explorar, la tradicional o la más innovadora?","1","","","","",""
"a68b31967231","spanish","intermediate","opening","[]","¿Qué tipo de comida te gusta preparar en casa?","1","","","","",""
"a76d9ac85ddf","arabic","beginner","opening","[]","بتحب تسمع موسيقى؟","1","","","","",""
"a8c8a2d57ffd","spanish","advanced","opening","[]","¿Qué aspectos consideras más importantes al elegir un destino para tus vacaciones de verano?","1","","","","",""
"aafd341749ed","arabic","absolute_zero","brief-answer","[{""role"":""assistant"",""content"":""بتحب الشاي؟""},{""role"":""user"",""content"":""آه.""}]","بتحب الشاي الأخضر؟","1","","","","",""
"adff6c57ed63","arabic","absolute_zero","opening","[]","بتحبّ عمّان؟","1","","","","",""
"b7ad6c58e675","mandarin","beginner","confusion","[{""role"":""assistant"",""content"":""你喜欢吃辣的食物吗？""},{""role"":""user"",""content"":""喜欢。""},{""role"":""assistant"",""content"":""你喜欢吃很辣的食物吗？""},{""role"":""user"",""content"":""我不懂。""}]","你喜欢吃辣椒吗？","1","","","","",""
"ba02da209e79","mandarin","absolute_zero","opening","[]","你喜欢吃面条吗？","1","","","","",""
"c1797cfc042d","spanish","absolute_zero","brief-answer","[{""role"":""assistant"",""content"":""¿Te gusta la música?""},{""role"":""user"",""content"":""Sí.""}]","¿Te gusta bailar?","1","","","","",""
"c23ad392cf0a","arabic","beginner","confusion","[{""role"":""assistant"",""content"":""بتحب القهوة؟""},{""role"":""user"",""content"":""آه.""},{""role"":""assistant"",""content"":""بتحب القهوة مع حليب؟""},{""role"":""user"",""content"":""مش فاهم.""}]","بتحب القهوة السادة؟","1","","","","",""
"c34353f71709","spanish","absolute_zero","opening","[]","¿Te gusta la música?","1","","","","",""
"c588f7470c60","mandarin","fluent","opening","[]","你觉得成都有什么特别好吃的小吃吗？","1","","","","",""
"c8c094c40116","mandarin","absolute_zero","confusion","[{""role"":""assistant"",""content"":""你喜欢吃面条吗？""},{""role"":""user"",""content"":""喜欢。""},{""role"":""assistant"",""content"":""你喜欢吃米饭吗？""},{""role"":""user"",""content"":""我不懂。""}]","你喜欢吃面条吗？","1","","","","",""
"d0ac00b46cf1","mandarin","beginner","opening","[]","你喜欢吃面条吗？","1","","","","",""
"db60a9d91416","spanish","fluent","opening","[]","¿Qué planes tienes para el fin de semana?","1","","","","",""
"de1a39840c02","mandarin","absolute_zero","opening","[]","你喜欢吃面条吗？","1","","","","",""
"de909268749d","arabic","fluent","opening","[]","شو آخر شي حلو شفته أو لفت انتباهك اليوم؟","1","","","","",""
"f19f6d40200f","arabic","beginner","opening","[]","بتحب القهوة؟","1","","","","",""
"fbda732ac02d","arabic","absolute_zero","confusion","[{""role"":""assistant"",""content"":""بتحب الشاي؟""},{""role"":""user"",""content"":""آه.""},{""role"":""assistant"",""content"":""بتحب الشاي الأخضر؟""},{""role"":""user"",""content"":""مش فاهم.""}]","بدك شاي أخضر؟","1","","","","",""
"fc87ba872e5e","mandarin","beginner","brief-answer","[{""role"":""assistant"",""content"":""你喜欢吃辣的食物吗？""},{""role"":""user"",""content"":""喜欢。""}]","你喜欢吃很辣的食物吗？","1","","","","",""
