"sample_id","language","level","scenario","history","response","sentence_count_heuristic","difficulty_fit_0_2","reply_opportunity_0_2","responsiveness_0_2","persona_consistency_0_2_or_na","notes"
"0c7bc27aaa27","arabic","beginner","preference","[{""role"":""assistant"",""content"":""أنا بحب أرسم أبواب عمان القديمة.""},{""role"":""user"",""content"":""مش فاهم.""},{""role"":""assistant"",""content"":""أنا بحب أرسم أبواب عمان القديمة.""},{""role"":""user"",""content"":""بدي أحكي عن الموسيقى.""},{""role"":""assistant"",""content"":""أنا بسمع موسيقى هادية.""},{""role"":""user"",""content"":""بحب أسمع موسيقى بالبيت.""}]","ممكن أغاني فيروز؟","1","","","","",""
"15908cb68df4","spanish","beginner","preference","[{""role"":""assistant"",""content"":""Me gusta mucho nadar en el mar.""},{""role"":""user"",""content"":""No entiendo.""},{""role"":""assistant"",""content"":""Me gusta nadar en el mar.""},{""role"":""user"",""content"":""Quiero hablar de música.""},{""role"":""assistant"",""content"":""Me gusta la música.""},{""role"":""user"",""content"":""Prefiero escuchar música en casa.""}]","Yo escucho música antes de nadar.","1","","","","",""
"177891690c3e","arabic","intermediate","opening","[]","أنا بحب أرسم المداخل القديمة.","1","","","","",""
"191223f1e776","mandarin","beginner","topic-switch","[{""role"":""assistant"",""content"":""我喜欢晚上骑车。""},{""role"":""user"",""content"":""我不懂。""},{""role"":""assistant"",""content"":""我喜欢晚上骑自行车。""},{""role"":""user"",""content"":""我想聊音乐。""}]","我喜欢听音乐。","1","","","","",""
"44123fb8512c","spanish","beginner","opening","[]","Me gusta mucho nadar en el mar.","1","","","","",""
"5108cca25c22","spanish","intermediate","topic-switch","[{""role"":""assistant"",""content"":""Me gusta mucho ir a la playa en invierno. Hay menos gente.""},{""role"":""user"",""content"":""No entiendo.""},{""role"":""assistant"",""content"":""Me gusta ir a la playa cuando no hay mucha gente.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","A mí me gusta la música que se puede bailar.","1","","","","",""
"5f06e38559b5","mandarin","beginner","opening","[]","我喜欢晚上骑车。","1","","","","",""
"6b1b2e3052b7","spanish","intermediate","preference","[{""role"":""assistant"",""content"":""Me gusta mucho ir a la playa en invierno. Hay menos gente.""},{""role"":""user"",""content"":""No entiendo.""},{""role"":""assistant"",""content"":""Me gusta ir a la playa cuando no hay mucha gente.""},{""role"":""user"",""content"":""Quiero hablar de música.""},{""role"":""assistant"",""content"":""A mí me gusta la música que se puede bailar.""},{""role"":""user"",""content"":""Prefiero escuchar música en casa.""}]","Yo también, y me gusta ponerla mientras cocino.","1","","","","",""
"7237af8cc6da","arabic","intermediate","topic-switch","[{""role"":""assistant"",""content"":""أنا بحب أرسم المداخل القديمة.""},{""role"":""user"",""content"":""مش فاهم.""},{""role"":""assistant"",""content"":""أنا بحب أرسم أبواب البيوت القديمة.""},{""role"":""user"",""content"":""بدي أحكي عن الموسيقى.""}]","أنا بحب أسمع موسيقى هادية لما برسم.","1","","","","",""
"847b00292787","spanish","intermediate","opening","[]","Me gusta mucho ir a la playa en invierno. Hay menos gente.","2","","","","",""
"91f2cb3cff0d","mandarin","beginner","confusion","[{""role"":""assistant"",""content"":""我喜欢晚上骑车。""},{""role"":""user"",""content"":""我不懂。""}]","我喜欢晚上骑自行车。","1","","","","",""
"9278e6ba70f5","arabic","beginner","topic-switch","[{""role"":""assistant"",""content"":""أنا بحب أرسم أبواب عمان القديمة.""},{""role"":""user"",""content"":""مش فاهم.""},{""role"":""assistant"",""content"":""أنا بحب أرسم أبواب عمان القديمة.""},{""role"":""user"",""content"":""بدي أحكي عن الموسيقى.""}]","أنا بسمع موسيقى هادية.","1","","","","",""
"95afc3032d9a","mandarin","intermediate","confusion","[{""role"":""assistant"",""content"":""我出门一般都是晚上骑车，白天太晒了。""},{""role"":""user"",""content"":""我不懂。""}]","我喜欢晚上骑车，白天太热了。","1","","","","",""
"9b861b84e4bd","arabic","intermediate","preference","[{""role"":""assistant"",""content"":""أنا بحب أرسم المداخل القديمة.""},{""role"":""user"",""content"":""مش فاهم.""},{""role"":""assistant"",""content"":""أنا بحب أرسم أبواب البيوت القديمة.""},{""role"":""user"",""content"":""بدي أحكي عن الموسيقى.""},{""role"":""assistant"",""content"":""أنا بحب أسمع موسيقى هادية لما برسم.""},{""role"":""user"",""content"":""بحب أسمع موسيقى بالبيت.""}]","أنا كمان بحب الموسيقى بالبيت، خاصة الصبح.","1","","","","",""
