"sample_id","level","scenario","fixed_history","response","sentence_count_heuristic","difficulty_fit_0_2","reply_opportunity_0_2","responsiveness_0_2","persona_consistency_0_2_or_na","notes"
"057894e1be67","intermediate","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me encanta la playa cuando no hay mucha gente. Es mucho más relajante. ¿Qué tipo de música te apetece escuchar hoy?","3","","","","",""
"05fe9328d4db","intermediate","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","¡Qué bien! Me encanta la playa vacía. ¿Y de música? ¡Genial! ¿Qué tipo de música te apetece escuchar hoy?","5","","","","",""
"0695ce9ab5db","absolute_zero","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","La playa no tiene gente.","1","","","","",""
"06f5653665d5","intermediate","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","Ah, te referías a que la playa está vacía hoy. Entiendo.","2","","","","",""
"08c94af55234","absolute_zero","opening","[]","Hola. Yo soy Lucía.","2","","","","",""
"0905930056c7","absolute_zero","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me gusta la música.","1","","","","",""
"0a65210ea5c1","beginner","opening","[]","Me encanta el café con leche.","1","","","","",""
"108d111f0d9e","beginner","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","¿Qué tipo de música te gusta?","1","","","","",""
"128835852774","intermediate","opening","[]","A mí me encanta el desayuno. Creo que es la mejor comida del día, con diferencia.","2","","","","",""
"142045669d91","beginner","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","Ah, ¿la playa no tiene gente?","1","","","","",""
"17c965bf5fe5","intermediate","opening","[]","A mí me gusta mucho la tortilla de patatas. ¿A ti te gusta más con cebolla o sin cebolla?","2","","","","",""
