"sample_id","level","scenario","fixed_history","response","sentence_count_heuristic","difficulty_fit_0_2","reply_opportunity_0_2","responsiveness_0_2","persona_consistency_0_2_or_na","notes"
"0369882f45ba","advanced","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Me gusta la tranquilidad, pero cerrar la costa al turismo tampoco sería justo para quienes viven de él.""}]","¡Hola! Qué bien que puedas disfrutar de la playa con esa paz. A mí me pasa igual, la prefiero en invierno, cuando no hay tanta gente. Entiendo lo que dices del turismo, es un equilibrio difícil. ¿Pero no crees que se podría regular un poco más para que todos podamos disfrutarla sin que se masifique tanto?","5","","","","",""
"07394574bc2d","beginner","opening","[]","¡Hola! Hoy hace sol y me apetece ir a la playa.","2","","","","",""
"096034b2da5d","beginner","opening","[]","¡Hola! ¿Qué tal? Yo estoy liada con la lista de canciones para la boda de mi hermana.","3","","","","",""
"0b65aa275288","advanced","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Me gusta la tranquilidad, pero cerrar la costa al turismo tampoco sería justo para quienes viven de él.""}]","¡Qué suerte que esté vacía! A mí me encanta ir en invierno, o muy temprano en verano, antes de que llegue nadie. La tranquilidad no tiene precio, ¿verdad? Aunque estoy contigo, hay que buscar un equilibrio. No me imagino Valencia sin ese bullicio turístico, ¡sería muy raro!","5","","","","",""
"17e5e31352c6","beginner","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Me gusta la playa, pero no el calor.""}]","¡Qué bien! A mí también me gusta la playa en invierno.","2","","","","",""
"3d97e76a8ec4","beginner","opening","[]","¡Hola! ¿Qué tal el día? Yo estoy liada con la música de la boda de mi hermana.","3","","","","",""
"4130b4b22a0d","advanced","opening","[]","¡Hola!

No sé si te pasa a ti, pero con el calor que hace ya, solo me apetece pensar en la playa. De hecho, estoy deseando terminar el curso de cerámica para irme a nadar al mar antes de que empiece mi turno. ¡Es la mejor forma de empezar el día!","4","","","","",""
"44be05c9730a","absolute_zero","opening","[]","¡Hola! Me llamo Lucía. Soy de Valencia.

¿Y tú? ¿Cómo te llamas?","5","","","","",""
"460dd1b75d80","intermediate","opening","[]","¡Hola! ¿Qué tal?

Estoy aquí pensando en la boda de mi hermana. ¡Es en tres semanas! Me toca organizar la música y es más difícil de lo que parece. ¿A ti te gusta algún tipo de música en especial?","6","","","","",""
"493dc500a3ec","intermediate","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Prefiero ir en invierno porque hay menos gente, aunque no puedo nadar.""}]","¡Totalmente! En invierno la playa tiene otro encanto, ¿a que sí? Se respira una paz que en verano es imposible. Aunque yo, si no me puedo dar un chapuzón, no es lo mismo. Me encanta nadar en el mar bien temprano, antes de ir a trabajar. ¡Te deja nueva!","6","","","","",""
"4bceba8abcff","absolute_zero","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","Ah, ¿la playa está vacía? ¡Qué bien! Me encanta la playa en invierno.","3","","","","",""
"4cf16443da71","absolute_zero","opening","[]","Hola. Mi gato se llama Trufa.","2","","","","",""
"5b448e881388","advanced","opening","[]","¡Hola! ¿Qué tal?

Estoy intentando organizar la música para la boda de mi hermana. ¡Menudo lío! Ella quiere de todo y no se decide por nada. ¿Tú eres más de clásicos o de lo último?","6","","","","",""
"61637d38aa7b","fluent","opening","[]","¡Hola! Qué semana llevo... Entre el trabajo y que mi hermana se casa en nada, no doy abasto. ¡Y la lista de canciones para la boda! No sé por dónde empezar, la verdad.","5","","","","",""
"62aaa3478337","absolute_zero","opening","[]","¡Hola! Me encanta el mar en invierno.","2","","","","",""
"63b46f5e2924","intermediate","opening","[]","¡Hola! Estoy liadísima con la lista de canciones para la boda de mi hermana. ¡Es en tres semanas! No sé qué poner, hay tantas opciones... ¿Tú tienes alguna canción que te encante para bailar?","5","","","","",""
"6c7e81515a3e","advanced","opening","[]","¡Hola! Qué semana llevo... Entre el trabajo y que mi hermana se casa en nada, no doy abasto. Ahora estoy con la lista de canciones para la boda y es un jaleo. ¿Tú sueles encargarte de la música en las fiestas?","5","","","","",""
"77d3cdbb871e","intermediate","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Prefiero ir en invierno porque hay menos gente, aunque no puedo nadar.""}]","Sí, es verdad. En invierno la playa tiene una tranquilidad especial. A mí también me gusta más así. ¿Qué te gusta hacer cuando vas a la playa en invierno?","4","","","","",""
"7ba2456466d9","fluent","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Qué curioso: vendemos la costa como un refugio del ruido y luego la llenamos de chiringuitos con altavoces.""}]","¡Totalmente! Es la pescadilla que se muerde la cola. Yo siempre digo que la playa en invierno es otra cosa, ¿a que sí? Sin tanto jaleo, se disfruta mucho más.","4","","","","",""
"80b163dfaf47","absolute_zero","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","¡Qué raro! ¿No hace sol?","2","","","","",""
"819a35656205","fluent","opening","[]","¡Hola! ¿Qué tal? Ya tengo casi lista la lista de canciones para la boda de mi hermana. ¡Menos mal! Me ha costado lo mío. ¿Tú tienes alguna canción que no pueda faltar en una boda?","6","","","","",""
"874b19c87372","intermediate","opening","[]","¡Hola! ¿Qué tal?

Pues sí, entre la boda de mi hermana y el curso de cerámica, no paro. Lo de la lista de canciones me está volviendo un poco loca. ¿Te imaginas? ¡Hay que contentar a mucha gente!","6","","","","",""
"904eedb880a4","fluent","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Qué curioso: vendemos la costa como un refugio del ruido y luego la llenamos de chiringuitos con altavoces.""}]","¡Hombre, completamente de acuerdo! Luego llegas y entre la música del chiringuito, los niños y las conversaciones a grito pelado, parece que estás en el centro de Valencia un día de mascletà. Para eso me quedo en mi balcón, que por lo menos sé lo que hay.","3","","","","",""
"9483abc7ad7d","fluent","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Qué curioso: vendemos la costa como un refugio del ruido y luego la llenamos de chiringuitos con altavoces.""}]","¡Hombre, completamente de acuerdo! Es la pescadilla que se muerde la cola. Yo siempre digo que donde esté la playa en invierno, que se quite todo lo demás. ¡Se respira una paz que no tiene precio! ¿Tú eres más de playa con gente o de esas solitarias?","5","","","","",""
"969946481d06","intermediate","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Prefiero ir en invierno porque hay menos gente, aunque no puedo nadar.""}]","¡Qué razón tienes! En invierno la playa tiene una magia especial, ¿verdad? Se respira otra tranquilidad sin tanto jaleo. Yo a veces voy a la Malvarrosa antes de trabajar, ¡y no hay ni un alma! El mar en calma es una maravilla.","5","","","","",""
"9964d227b44d","fluent","opening","[]","¡Hola! ¿Qué tal?

Esta mañana, al ir a la clínica, he pasado por el Mercado Central y olía a jazmín y a azahar. Me ha recordado a los paseos en bici de pequeña.","4","","","","",""
"9ac2aa9c8bd7","absolute_zero","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","¡Hola! A mí me gusta la playa vacía. Es mejor en invierno.","3","","","","",""
"9be982fbfe0d","beginner","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Me gusta la playa, pero no el calor.""}]","Sí, hace fresco hoy.","1","","","","",""
"9ca776b7db9c","beginner","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Me gusta la playa, pero no el calor.""}]","¡A mí también me gusta más la playa en invierno! Se está más tranquilo.","2","","","","",""
"abea158b4461","fluent","opening","[]","¡Hola! ¿Cómo estás? Me alegro mucho de que hablemos hoy.

Estoy aquí para ayudarte con tu español. Dime, ¿qué te gustaría hacer? ¿Quieres practicar algo en particular o simplemente charlar un rato?","6","","","","",""
"b97b1eb23111","advanced","opening","[]","¡Hola! Me alegro de verte. ¿Qué tal estás hoy?","3","","","","",""
"bf85911134df","intermediate","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Prefiero ir en invierno porque hay menos gente, aunque no puedo nadar.""}]","¡Totalmente de acuerdo! La playa en invierno es una maravilla. Aquí en Valencia, si hace sol, me encanta ir a dar un paseo por la Malvarrosa antes de trabajar. Se respira una paz diferente, ¿verdad?","4","","","","",""
"cc72efc2468a","advanced","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Me gusta la tranquilidad, pero cerrar la costa al turismo tampoco sería justo para quienes viven de él.""}]","Totalmente, es un equilibrio complicado. Aquí en Valencia, la playa en invierno es una maravilla, casi para ti solo. Pero claro, en verano hay que compartir, ¡y mucho! ¿Eres de las que prefiere la playa con gente o sin nadie?","4","","","","",""
"cd0057d3e0be","absolute_zero","opening","[]","Hola. Soy Lucía.","2","","","","",""
