"sample_id","language","level","scenario","history","response","sentence_count_heuristic","difficulty_fit_0_2","reply_opportunity_0_2","responsiveness_0_2","persona_consistency_0_2_or_na","notes"
"0074cb40d1eb","mandarin","beginner","topic-switch","[{""role"":""assistant"",""content"":""我很喜欢在晚上骑车。""},{""role"":""user"",""content"":""我不懂。""},{""role"":""assistant"",""content"":""你喜欢晚上骑车。""},{""role"":""user"",""content"":""我想聊音乐。""}]","你喜欢听音乐吗？","1","","","","",""
"011f62411ce6","mandarin","beginner","topic-switch","[{""role"":""assistant"",""content"":""我喜欢晚上骑车。你呢？""},{""role"":""user"",""content"":""我不懂。""},{""role"":""assistant"",""content"":""我也喜欢晚上骑车！成都很漂亮。""},{""role"":""user"",""content"":""我想聊音乐。""}]","音乐很好！你喜欢什么音乐？","2","","","","",""
"09b123a1e3ba","arabic","beginner","opening","[]","الرسم بالليل حلو.","1","","","","",""
"1c4f909deb9c","arabic","intermediate","confusion","[{""role"":""assistant"",""content"":""مرحباً! أنا نور. عمري 29 سنة، وبشتغل مهندسة معمارية. كتير بحب شغلي، خاصة لما يكون في ترميم مباني قديمة. \n\nأنا هلأ عم بوثّق بيت قديم انبنى بالثلاثينات قبل ما نرممه. شو بتعمل أنت؟""},{""role"":""user"",""content"":""مش فاهم.""}]","أهلاً فيكِ نور! أنا كمان اسمي نور، وعمري 29 سنة. يا لهوي، صدفة حلوة! أنا بشتغل مهندسة معمارية متلك، وبحب كتير ترميم المباني القديمة. شغلنا بيشبه بعض.

أنا هلأ عم بتعلّم أطبخ مقلوبة من تيتا، وهي كتير شاطرة فيها. شو أكتر أكلة بتحبيها؟","7","","","","",""
"208fe1673119","mandarin","intermediate","opening","[]","你好！我今天早上送了一份特别好吃的面条外卖，现在还在想那个味道。你今天怎么样？","3","","","","",""
"216aebc07bf9","mandarin","intermediate","preference","[{""role"":""assistant"",""content"":""你好！我今天早上送了一份特别好吃的面条外卖，现在还在想那个味道。你今天怎么样？""},{""role"":""user"",""content"":""我不懂。""},{""role"":""assistant"",""content"":""你好！你今天早上送了面条外卖，听起来不错。我今天也很好，送了好几单，还去了一个新地方，那儿的风景很好。""},{""role"":""user"",""content"":""我想聊音乐。""},{""role"":""assistant"",""content"":""聊音乐啊，好啊！你喜欢听什么音乐？""},{""role"":""user"",""content"":""我喜欢在家听音乐。""}]","在家听音乐很舒服。你通常听哪种类型的音乐？我喜欢听老摇滚。","3","","","","",""
"24d1ef498679","arabic","beginner","preference","[{""role"":""assistant"",""content"":""أنا بحب البيوت القديمة. أنت؟""},{""role"":""user"",""content"":""مش فاهم.""},{""role"":""assistant"",""content"":""أهلاً! أنا كمان بحب البيوت القديمة كثير. \nأنا مهندسة معمارية وبشتغل في ترميم البيوت القديمة في عمّان.\nشو بتحب في البيوت القديمة؟""},{""role"":""user"",""content"":""بدي أحكي عن الموسيقى.""},{""role"":""assistant"",""content"":""تمام! بتحب الموسيقى؟ أنا كمان بحب الموسيقى كثير.\nشو نوع الموسيقى اللي بتحبها؟""},{""role"":""user"",""content"":""بحب أسمع موسيقى بالبيت.""}]","حلو كثير! أنا كمان بحب أسمع موسيقى بالبيت.
أنا بحب أسمع موسيقى العود. أنتَ بتسمع عود؟","4","","","","",""
"27031fcbe332","spanish","beginner","topic-switch","[{""role"":""assistant"",""content"":""Hola. Me llamo Lucía. ¿Qué tal?""},{""role"":""user"",""content"":""No entiendo.""},{""role"":""assistant"",""content"":""Hola, Lucía. Soy Lucía.\n\n¿Cómo te llamas?""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","¡Qué bien! Me gusta mucho la música.

¿Qué música te gusta?","3","","","","",""
"277ef92424ab","spanish","intermediate","confusion","[{""role"":""assistant"",""content"":""¡Hola! Estoy muy bien, gracias. Hoy hace un día precioso aquí en Valencia. ¿Qué tal estás tú hoy?""},{""role"":""user"",""content"":""No entiendo.""}]","¡Hola! Yo también estoy muy bien. Me alegra que haga un buen día en Valencia. Aquí en Teruel hace un poco de frío.

¿Te gusta el frío?","5","","","","",""
"2aa6eb328d6c","mandarin","intermediate","preference","[{""role"":""assistant"",""content"":""我比较喜欢晚上在城市里骑车。""},{""role"":""user"",""content"":""我不懂。""},{""role"":""assistant"",""content"":""嗯，我的意思是晚上在城市里骑自行车。""},{""role"":""user"",""content"":""我想聊音乐。""},{""role"":""assistant"",""content"":""你喜欢听哪种音乐呢？我比较喜欢听摇滚乐。""},{""role"":""user"",""content"":""我喜欢在家听音乐。""}]","在家听音乐确实很舒服，可以完全放松。你喜欢用音响还是耳机听呢？","2","","","","",""
