"sample_id","level","scenario","fixed_history","response","sentence_count_heuristic","difficulty_fit_0_2","reply_opportunity_0_2","responsiveness_0_2","persona_consistency_0_2_or_na","notes"
"01006c37fbc5","absolute_zero","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","¿Te gusta la playa?","1","","","","",""
"3fa35f9ff467","absolute_zero","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","¿Te gusta la playa?","1","","","","",""
"52c732d12a8d","absolute_zero","opening","[]","¿Te gusta el café?","1","","","","",""
"70986178633e","beginner","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Me gusta la playa, pero no el calor.""}]","¿Te gusta nadar?","1","","","","",""
"7510544e9bb7","absolute_zero","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","La playa está vacía.","1","","","","",""
"87778fae4a8d","beginner","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Me gusta la playa, pero no el calor.""}]","¿Prefieres el frío?","1","","","","",""
"b4c2e6b77083","beginner","reply","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Me gusta la playa, pero no el calor.""}]","A mí también me gusta la playa sin calor.","1","","","","",""
"b9e81c3de3b4","beginner","opening","[]","¿Te gusta el café con leche?","1","","","","",""
"bd1de73a9874","beginner","opening","[]","El café con leche es lo mejor para desayunar.","1","","","","",""
"e35045ffdf21","absolute_zero","opening","[]","¿Te gusta el café?","1","","","","",""
"ec310ffce0bf","absolute_zero","opening","[]","Me gusta el café.","1","","","","",""
"ecf12991244d","beginner","opening","[]","¿Te gusta el arroz al horno?","1","","","","",""
