case,context,repeat,skill,source,chat_quote,jev_fast_quote,chat_supports_skill,jev_fast_supports_skill,reviewer,notes
"decision-courtesy-full-a","alone","1","courtesy","Perdona por llegar tarde; se averió el autobús.","Perdona","","","","",""
"decision-courtesy-full-a","alone","1","reason","Perdona por llegar tarde; se averió el autobús.","se averió el autobús","","","","",""
"decision-courtesy-full-a","alone","1","past_reference","Perdona por llegar tarde; se averió el autobús.","se averió","","","","",""
"decision-courtesy-full-a","alone","1","motion","Perdona por llegar tarde; se averió el autobús.","llegar tarde","","","","",""
"decision-courtesy-full-b","alone","1","courtesy","De nada, ha sido un placer ayudarte.","De nada","","","","",""
"decision-courtesy-full-b","alone","1","property","De nada, ha sido un placer ayudarte.","ha sido un placer","","","","",""
"decision-courtesy-partial","alone","1","courtesy","Quería discul... por lo de esta mañana.","Quería discul...","","","","",""
"decision-courtesy-partial","alone","1","negation","Quería discul... por lo de esta mañana.","discul...","","","","",""
"decision-courtesy-absent","alone","1","property","El personaje se llama Gracias y vive en un libro.","se llama Gracias","","","","",""
"decision-courtesy-absent","alone","1","possession","El personaje se llama Gracias y vive en un libro.","vive en un libro","","","","",""
"decision-courtesy-source","before","1","property","La página tiene dos columnas.","La página tiene dos columnas.","","","","",""
"decision-courtesy-source","before","1","quantity","La página tiene dos columnas.","dos columnas","","","","",""
"decision-courtesy-source","before","1","referent","La página tiene dos columnas.","La página","","","","",""
"decision-past_reference-full-a","alone","1","comparison","De pequeño iba andando al colegio; ahora trabajo desde casa.","","iba andando al colegio; ahora trabajo desde casa","","","",""
"decision-past_reference-full-a","alone","1","event_roles","De pequeño iba andando al colegio; ahora trabajo desde casa.","","iba andando","","","",""
"decision-past_reference-full-a","alone","1","past_reference","De pequeño iba andando al colegio; ahora trabajo desde casa.","iba","De pequeño iba","","","",""
"decision-past_reference-full-a","alone","1","past_sequence","De pequeño iba andando al colegio; ahora trabajo desde casa.","","iba andando al colegio","","","",""
"decision-past_reference-full-a","alone","1","event_phase","De pequeño iba andando al colegio; ahora trabajo desde casa.","","iba andando","","","",""
