"sample_id","job_id"
"52c732d12a8d","absolute_zero-full-last-opening"
"ec310ffce0bf","absolute_zero-trimmed-last-opening"
"e35045ffdf21","absolute_zero-none-last-opening"
"3fa35f9ff467","absolute_zero-full-last-reply"
"01006c37fbc5","absolute_zero-trimmed-last-reply"
"7510544e9bb7","absolute_zero-none-last-reply"
"ecf12991244d","beginner-full-last-opening"
"bd1de73a9874","beginner-trimmed-last-opening"
"b9e81c3de3b4","beginner-none-last-opening"
"87778fae4a8d","beginner-full-last-reply"
"b4c2e6b77083","beginner-trimmed-last-reply"
"70986178633e","beginner-none-last-reply"
